ВОР;ВОР_факт;ВОР_остаток;Ед_изм;%_выполнения_ВОР;Осталось_дней_прогноз;ЛОТ_ID;Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД
;;;;;;;0%;326 д;21.04.26;12.03.27;20.04.26;02.10.27;531 д;;;1;Суммарная задача;1;209;;;НД;msp_leninsky;;0feb8a44-a0f4-11ef-af7f-0050560219d5;1;
;;;;;;;0%;326 д;21.04.26;12.03.27;20.04.26;02.10.27;531 д;;;2;СМР;2;523;;;НД;СМР;;;2;
;;;;;;;0%;326 д;21.04.26;12.03.27;20.04.26;02.10.27;531 д;;;3;СМР;3;735;;;НД;Блок А;;;3;
18000;;;м2;;;;0%;92 д;21.04.26;21.07.26;21.04.26;21.07.26;92 д;;;4;СМР;4;736;;;20.04.26;Сваи;ЛОТ №7;;4;
;;;;;;;0%;278 д;21.04.26;23.01.27;20.04.26;13.08.27;481 д;;;4;СМР;5;737;;;НД;КОРОБКА, КРОВЛЯ, СТЕНЫ;ЛОТ №8;;4;
350;205;145;шт;59;;;1%;200 д;21.04.26;06.11.26;20.04.26;10.11.26;200 д;;;5;СМР;6;738;;"10ОН+143 д;12НН+43 д;8ОН+13 д";20.04.26;Фундаменты сборные;8.1;;4;
;;;;;;;0%;21 д;20.11.26;10.12.26;24.11.26;02.01.27;40 д;;;5;СМР;7;739;;;НД;Фундаменты монолитные;8.2;;4;
7500;5500;2000;м3;73;;;0%;21 д;20.11.26;10.12.26;24.11.26;02.01.27;40 д;;;6;СМР;8;740;6ОН+13 д;18ОН-12 д;08.12.25;Устройство монолитной железобетонной плиты под технические помещения (в тч земляные работы, основание песок, щебень, гидроизоляция);;;5;
;;;;;;;0%;50 д;11.09.26;30.10.26;03.04.27;21.06.27;80 д;;;5;СМР;9;741;;;НД;Цокольные панели;;;4;
3500;;;м2;;;;0%;50 д;11.09.26;30.10.26;03.04.27;21.06.27;80 д;;;6;СМР;10;742;6ОН+143 д;"14НН+3 д;15НН+3 д;16НН+32 д;17НН+32 д;19НН";НД;Укладка цокольных панелей (в тч земляные работы, устройство стеновых стыков, монолитные участки, гидроизоляция);8.3;;5;
